year,4_yr,5_yr,6_yr,7_yr
1985,1,6,65,28
1986,0,9,59,32
1987,0,5,77,18
1988,1,15,27,57
1989,3,19,57,21
1990,5,21,65,10
1991,2,29,48,22
1992,6,17,73,3
1993,5,29,55,12
1994,2,29,54,15
1995,6,13,69,12
1996,3,46,32,19
1997,4,12,81,3
1998,5,44,40,11
1999,1,18,79,2
2000,6,26,54,14
2001,2,25,61,12
2002,8,25,53,14
2003,1,29,63,7
2004,5,20,70,5
2005,2,31,61,6
2006,5,51,43,1
2007,6,40,54,1
2008,3,56,37,5
2009,8,33,59,0
2010,7,46,42,4
2011,2,30,60,8
2012,7,30,59,4
2013,4,28,63,5
2014,7,50,40,3
2015,11,34,52,2
2016,9,65,25,1
2017,4,46,48,1
2018,10,43,45,2
2019,8,48,42,1
